bucket_size,max_load_capacity,bucket_weight,bucket_name,class,
2.5,99999,1810,BHB-50-1549,50, 
2.7,99999,1871,BHB-50-1651,50,
2.9,99999,1932,BHB-50-1753,50,
3.1,99999,1994,BHB-50-1854,50,
3.3,99999,2056,BHB-50-1956,50,
3.2,99999,2198,BHB-60-1600,60,
3.4,99999,2267,BHB-60-1702,60,
3.6,99999,2337,BHB-60-1803,60,
3.84,99999,2408,BHB-60-1905,60,
4.1,99999,2482,BHB-60-2007,60,
3.8,99999,3000,BHB-70-1753,70,
4,99999,3084,BHB-70-1854,70,
4.3,99999,3172,BHB-70-1956,70,
4.6,99999,3261,BHB-70-2057,70,
4.8,99999,3349,BHB-70-2159,70,
4.7,99999,3564,BHB-80-1854,80,
5,99999,3662,BHB-80-1956,80,
5.3,99999,3762,BHB-80-2057,80,
5.6,99999,3863,BHB-80-2159,80,
5.9,99999,3964,BHB-80-2261,80,
5.51,99999,4039,BHB-90-1956,90,
5.84,99999,4144,BHB-90-2057,90,
6.17,99999,4248,BHB-90-2159,90,
6.5,99999,4352,BHB-90-2261,90,
6.83,99999,4462,BHB-90-2362,90,
6.32,99999,4577,BHB-100-2057,100,
6.67,99999,4693,BHB-100-2159,100,
7.03,99999,4819,BHB-100-2261,100,
7.39,99999,4929,BHB-100-2362,100,
7.75,99999,5063,BHB-100-2464,100,
7.56,99999,5000,BHB-120-2159,120,
7.97,99999,11309,BHB-120-2261,120,
8.38,99999,5262,BHB-120-2362,120,
8.78,99999,5387,BHB-120-2464,120,
9.2,99999,5518,BHB-120-2565,120,
3.97,99999,3186,BHC-60,60,
4.5,99999,4308,BHC-70-1800,70,
5.8,99999,4782,BHC-80-1500,80,
5.1,99999,4454,BHC-80-1800,80,
6.6,99999,5752,BHC-90-1500,90,
5.7,99999,5341,BHC-90-1800,90,
7.6,99999,7209,BHC-100-1500,100,
6.6,99999,6728,BHC-100-1800,100,
9,99999,8303,BHC-120-1500,120,
7.7,99999,7624,BHC-120-1800,120,
10.2,99999,9100,BHC-150-1500,150,
8.9,99999,8486,BHC-150-1800,150,
